Date,Close
2004-08-19,38.630001
2004-08-20,39.509998
2004-08-23,39.450001
2004-08-24,39.049999
2004-08-25,40.299999
2004-08-26,40.189999
2004-08-27,39.900002
2004-08-30,38.310001
2004-08-31,38.139999
2004-09-01,38.240002
2004-09-02,39.180000
2004-09-03,38.740002
2004-09-07,38.509998
2004-09-08,38.009998
2004-09-09,38.070000
2004-09-10,38.570000
2004-09-13,40.009998
2004-09-14,42.669998
2004-09-15,42.209999
2004-09-16,42.570000
2004-09-17,42.959999
2004-09-20,43.270000
2004-09-21,43.290001
2004-09-22,41.380001
2004-09-23,41.830002
2004-09-24,40.939999
2004-09-27,39.930000
2004-09-28,39.430000
2004-09-29,40.840000
2004-09-30,40.860001
2004-10-01,40.470001
2004-10-04,41.009998
2004-10-05,40.959999
2004-10-06,41.360001
2004-10-07,41.150002
2004-10-08,40.000000
2004-10-11,40.150002
2004-10-12,40.220001
2004-10-13,39.980000
2004-10-14,39.099998
2004-10-15,38.549999
2004-10-18,39.270000
2004-10-19,38.330002
2004-10-20,38.349998
2004-10-21,39.470001
2004-10-22,34.599998
2004-10-25,33.970001
2004-10-26,33.830002
2004-10-27,34.230000
2004-10-28,34.450001
2004-10-29,34.130001
2004-11-01,35.099998
2004-11-02,36.240002
2004-11-03,35.919998
2004-11-04,36.910000
2004-11-05,36.560001
2004-11-08,37.320000
2004-11-09,37.400002
2004-11-10,38.090000
2004-11-11,38.830002
2004-11-12,40.459999
2004-11-15,40.889999
2004-11-16,40.070000
2004-11-17,39.900002
2004-11-18,40.369999
2004-11-19,38.549999
2004-11-22,38.049999
2004-11-23,38.310001
2004-11-24,38.750000
2004-11-26,39.090000
2004-11-29,38.939999
2004-11-30,39.680000
2004-12-01,39.980000
2004-12-02,40.169998
2004-12-03,40.090000
2004-12-06,39.490002
2004-12-07,38.200001
2004-12-08,38.720001
2004-12-09,39.820000
2004-12-10,39.049999
2004-12-13,39.830002
2004-12-14,40.439999
2004-12-15,41.000000
2004-12-16,40.049999
2004-12-17,40.009998
2004-12-20,38.950001
2004-12-21,39.389999
2004-12-22,39.520000
2004-12-23,38.930000
2004-12-27,42.250000
2004-12-28,44.630001
2004-12-29,44.820000
2004-12-30,44.970001
2004-12-31,44.290001
2005-01-03,44.520000
2005-01-04,42.139999
2005-01-05,41.770000
2005-01-06,41.049999
2005-01-07,42.320000
2005-01-10,41.840000
2005-01-11,41.639999
2005-01-12,42.299999
2005-01-13,42.599998
2005-01-14,44.549999
2005-01-18,44.580002
2005-01-19,43.959999
2005-01-20,42.360001
2005-01-21,41.160000
2005-01-24,40.380001
2005-01-25,40.939999
2005-01-26,41.340000
2005-01-27,42.310001
2005-01-28,42.220001
2005-01-31,43.220001
2005-02-01,42.480000
2005-02-02,41.880001
2005-02-03,35.750000
2005-02-04,35.720001
2005-02-07,35.689999
2005-02-08,36.299999
2005-02-09,35.889999
2005-02-10,35.779999
2005-02-11,35.779999
2005-02-14,36.029999
2005-02-15,36.139999
2005-02-16,35.660000
2005-02-17,35.689999
2005-02-18,35.310001
2005-02-22,34.720001
2005-02-23,34.139999
2005-02-24,34.689999
2005-02-25,34.990002
2005-02-28,35.180000
2005-03-01,35.389999
2005-03-02,35.500000
2005-03-03,35.650002
2005-03-04,35.849998
